id,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,total_sleep_records,total_minutes_asleep,total_time_in_bed
1503960366,2016-04-12,13162,8.5,8.5,0,1.879999995,0.5500000119,6.059999943,0,25,13,328,728,1985,1,327,346
1503960366,2016-04-13,10735,6.96999979,6.96999979,0,1.570000052,0.6899999976,4.7100000380000004,0,21,19,217,776,1797,2,384,407
1503960366,2016-04-15,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,1,412,442
1503960366,2016-04-16,12669,8.159999847,8.159999847,0,2.710000038,0.4099999964,5.0399999619999996,0,36,10,221,773,1863,2,340,367
1503960366,2016-04-17,9705,6.480000019,6.480000019,0,3.1900000570000002,0.7799999714,2.50999999,0,38,20,164,539,1728,1,700,712
1503960366,2016-04-19,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,1,304,320
1503960366,2016-04-20,10544,6.679999828,6.679999828,0,1.960000038,0.4799999893,4.239999771,0,28,12,205,818,1786,1,360,377
1503960366,2016-04-21,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,1,325,364
1503960366,2016-04-23,14371,9.039999962,9.039999962,0,2.8099999429999998,0.8700000048,5.360000134,0,41,21,262,732,1949,1,361,384
1503960366,2016-04-24,10039,6.409999847,6.409999847,0,2.920000076,0.2099999934,3.279999971,0,39,5,238,709,1788,1,430,449
1503960366,2016-04-25,15355,9.800000191,9.800000191,0,5.2899999619999996,0.5699999928,3.9400000570000002,0,73,14,216,814,2013,1,277,323
1503960366,2016-04-26,13755,8.789999962,8.789999962,0,2.329999924,0.9200000167,5.5399999619999996,0,31,23,279,833,1970,1,245,274
1503960366,2016-04-28,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,1,366,393
1503960366,2016-04-29,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,1,341,354
1503960366,2016-04-30,14673,9.25,9.25,0,3.5599999429999998,1.419999957,4.269999981,0,52,34,217,712,1947,1,404,425
1503960366,2016-05-01,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,1,369,396
1503960366,2016-05-02,14727,9.710000038,9.710000038,0,3.210000038,0.5699999928,5.920000076,0,41,15,277,798,2004,1,277,309
1503960366,2016-05-03,15103,9.659999847,9.659999847,0,3.7300000190000002,1.049999952,4.8800001140000004,0,50,24,254,816,1990,1,273,296
1503960366,2016-05-05,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.8800001140000004,0,45,24,250,857,1959,1,247,264
1503960366,2016-05-06,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,1,334,367
1503960366,2016-05-07,11992,7.7100000380000004,7.7100000380000004,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821,1,331,349
